actorid,actor_name,firstname,lastname,created_date,updated_date
1,Daniel Radcliffe,Daniel,Radcliffe,1/01/2021,1/01/2021
2,Rupert Grint,Rupert,Grint,1/01/2021,1/01/2021
3,Richard Harris,Richard,Harris,1/01/2021,1/01/2021
4,Maggie Smith,Maggie,Smith,1/01/2021,1/01/2021
5,Tom Felton,Tom,Felton,1/01/2021,1/01/2021
6,Elijah Wood,Elijah,Wood,1/01/2021,1/01/2021
7,Ian McKellen,Ian,McKellen,1/01/2021,1/01/2021
8,Orlando Bloom,Orlando,Bloom,1/01/2021,1/01/2021
9,Sean Bean,Sean,Bean,1/01/2021,1/01/2021
10,Viggo Mortensen,Viggo,Mortensen,1/01/2021,1/01/2021
11,Richard Armitage,Richard,Armitage,1/01/2021,1/01/2021
12,Eleven Scott,Eleven,Scott,1/01/2021,1/01/2021
13,Martin Freeman,Martin,Freeman,1/01/2021,1/01/2021
14,Cate Blanchett,Cate,Blanchett,1/01/2021,1/01/2021
15,Ken Stott,Ken,Stott,1/01/2021,1/01/2021
16,Lucas Grabeel,Lucas,Grabeel,1/01/2021,1/01/2021
17,Zac Efron,Zac,Efron,1/01/2021,1/01/2021
18,Vanessa Hudgens,Vanessa,Hudgens,1/01/2021,1/01/2021
19,Ashley Tisdale,Ashley,Tisdale,1/01/2021,1/01/2021
20,Corbin Bleu,Corbin,Bleu,1/01/2021,1/01/2021
21,Robert Downey Jr.,Robert,Downey,1/01/2021,1/01/2021
22,Chris Evans,Chris,Evans,1/01/2021,1/01/2021
23,Mark Ruffalo,Mark,Ruffalo,1/01/2021,1/01/2021
24,Scarlett Johansson,Scarlett,Johansson,1/01/2021,1/01/2021
25,Chris Hemsworth,Chris,Hemsworth,1/01/2021,1/01/2021
26,Jake Gyllenhaal,Jake,Gyllenhaal,2/01/2021,2/01/2021
27,Ryan Reynolds,Ryan,Reynolds,2/01/2021,2/01/2021
28,Rebecca Ferguson,Rebecca,Ferguson,2/01/2021,2/01/2021
29,Olga Dykhovichnaya,Olga,Dykhovichnaya,2/01/2021,2/01/2021
30,Alex Wolff,Alex,Wolff,3/01/2021,3/01/2021
31,Gabriel Byrne,Gabriel,Byrne,3/01/2021,3/01/2021
32,Toni Collette,Toni,Collette,3/01/2021,3/01/2021
33,Milly Shapiro,Milly,Shapiro,3/01/2021,3/01/2021
34,Emily Blunt,Emily,Blunt,4/01/2021,4/01/2021
35,John Krasinski,John,Krasinski,4/01/2021,4/01/2021
36,Millicent Simmonds,Millicent,Simmonds,4/01/2021,4/01/2021
37,Noah Jupe,Noah,Jupe,4/01/2021,4/01/2021
38,Angourie Rice,Angourie,Rice,5/01/2021,5/01/2021
39,Bebe Wood,Bebe,Wood,5/01/2021,5/01/2021
40,Christopher Briney,Christopher,Briney,5/01/2021,5/01/2021
