dateid,date,weekday_number,weekday_name
1,1/01/2024,1,Monday
2,2/01/2024,2,Tuesday
3,3/01/2024,3,Wednesday
4,4/01/2024,4,Thursday
5,5/01/2024,5,Friday
6,6/01/2024,6,Saturday
7,7/01/2024,7,Sunday
8,8/01/2024,1,Monday
9,9/01/2024,2,Tuesday
10,10/01/2024,3,Wednesday
11,11/01/2024,4,Thursday
12,12/01/2024,5,Friday
13,13/01/2024,6,Saturday
14,14/01/2024,7,Sunday
15,15/01/2024,1,Monday
16,16/01/2024,2,Tuesday
17,17/01/2024,3,Wednesday
18,18/01/2024,4,Thursday
19,19/01/2024,5,Friday
20,20/01/2024,6,Saturday
21,21/01/2024,7,Sunday
22,22/01/2024,1,Monday
23,23/01/2024,2,Tuesday
24,24/01/2024,3,Wednesday
25,25/01/2024,4,Thursday
26,26/01/2024,5,Friday
27,27/01/2024,6,Saturday
28,28/01/2024,7,Sunday
29,29/01/2024,1,Monday
30,30/01/2024,2,Tuesday
31,31/01/2024,3,Wednesday
32,1/02/2024,4,Thursday
33,2/02/2024,5,Friday
34,3/02/2024,6,Saturday
35,4/02/2024,7,Sunday
36,5/02/2024,1,Monday
37,6/02/2024,2,Tuesday
38,7/02/2024,3,Wednesday
39,8/02/2024,4,Thursday
40,9/02/2024,5,Friday
41,10/02/2024,6,Saturday
42,11/02/2024,7,Sunday
43,12/02/2024,1,Monday
44,13/02/2024,2,Tuesday
45,14/02/2024,3,Wednesday
46,15/02/2024,4,Thursday
47,16/02/2024,5,Friday
48,17/02/2024,6,Saturday
49,18/02/2024,7,Sunday
50,19/02/2024,1,Monday
51,20/02/2024,2,Tuesday
52,21/02/2024,3,Wednesday
53,22/02/2024,4,Thursday
54,23/02/2024,5,Friday
55,24/02/2024,6,Saturday
56,25/02/2024,7,Sunday
57,26/02/2024,1,Monday
58,27/02/2024,2,Tuesday
59,28/02/2024,3,Wednesday
60,29/02/2024,4,Thursday
61,1/03/2024,5,Friday
62,2/03/2024,6,Saturday
63,3/03/2024,7,Sunday
64,4/03/2024,1,Monday
65,5/03/2024,2,Tuesday
66,6/03/2024,3,Wednesday
67,7/03/2024,4,Thursday
68,8/03/2024,5,Friday
69,9/03/2024,6,Saturday
70,10/03/2024,7,Sunday
71,11/03/2024,1,Monday
72,12/03/2024,2,Tuesday
73,13/03/2024,3,Wednesday
74,14/03/2024,4,Thursday
75,15/03/2024,5,Friday
76,16/03/2024,6,Saturday
77,17/03/2024,7,Sunday
78,18/03/2024,1,Monday
79,19/03/2024,2,Tuesday
80,20/03/2024,3,Wednesday
81,21/03/2024,4,Thursday
82,22/03/2024,5,Friday
83,23/03/2024,6,Saturday
84,24/03/2024,7,Sunday
85,25/03/2024,1,Monday
86,26/03/2024,2,Tuesday
87,27/03/2024,3,Wednesday
88,28/03/2024,4,Thursday
89,29/03/2024,5,Friday
90,30/03/2024,6,Saturday
91,31/03/2024,7,Sunday
92,1/04/2024,1,Monday
93,2/04/2024,2,Tuesday
94,3/04/2024,3,Wednesday
95,4/04/2024,4,Thursday
96,5/04/2024,5,Friday
97,6/04/2024,6,Saturday
98,7/04/2024,7,Sunday
99,8/04/2024,1,Monday
100,9/04/2024,2,Tuesday
101,10/04/2024,3,Wednesday
102,11/04/2024,4,Thursday
103,12/04/2024,5,Friday
104,13/04/2024,6,Saturday
105,14/04/2024,7,Sunday
106,15/04/2024,1,Monday
107,16/04/2024,2,Tuesday
108,17/04/2024,3,Wednesday
109,18/04/2024,4,Thursday
110,19/04/2024,5,Friday
111,20/04/2024,6,Saturday
112,21/04/2024,7,Sunday
113,22/04/2024,1,Monday
114,23/04/2024,2,Tuesday
115,24/04/2024,3,Wednesday
116,25/04/2024,4,Thursday
117,26/04/2024,5,Friday
118,27/04/2024,6,Saturday
119,28/04/2024,7,Sunday
120,29/04/2024,1,Monday
121,30/04/2024,2,Tuesday
122,1/05/2024,3,Wednesday
123,2/05/2024,4,Thursday
124,3/05/2024,5,Friday
125,4/05/2024,6,Saturday
126,5/05/2024,7,Sunday
127,6/05/2024,1,Monday
128,7/05/2024,2,Tuesday
129,8/05/2024,3,Wednesday
130,9/05/2024,4,Thursday
131,10/05/2024,5,Friday
132,11/05/2024,6,Saturday
133,12/05/2024,7,Sunday
134,13/05/2024,1,Monday
135,14/05/2024,2,Tuesday
136,15/05/2024,3,Wednesday
137,16/05/2024,4,Thursday
138,17/05/2024,5,Friday
139,18/05/2024,6,Saturday
140,19/05/2024,7,Sunday
141,20/05/2024,1,Monday
142,21/05/2024,2,Tuesday
143,22/05/2024,3,Wednesday
144,23/05/2024,4,Thursday
145,24/05/2024,5,Friday
146,25/05/2024,6,Saturday
147,26/05/2024,7,Sunday
148,27/05/2024,1,Monday
149,28/05/2024,2,Tuesday
150,29/05/2024,3,Wednesday
151,30/05/2024,4,Thursday
152,31/05/2024,5,Friday
153,1/06/2024,6,Saturday
154,2/06/2024,7,Sunday
155,3/06/2024,1,Monday
156,4/06/2024,2,Tuesday
157,5/06/2024,3,Wednesday
158,6/06/2024,4,Thursday
159,7/06/2024,5,Friday
160,8/06/2024,6,Saturday
161,9/06/2024,7,Sunday
162,10/06/2024,1,Monday
163,11/06/2024,2,Tuesday
164,12/06/2024,3,Wednesday
165,13/06/2024,4,Thursday
166,14/06/2024,5,Friday
167,15/06/2024,6,Saturday
168,16/06/2024,7,Sunday
169,17/06/2024,1,Monday
170,18/06/2024,2,Tuesday
171,19/06/2024,3,Wednesday
172,20/06/2024,4,Thursday
173,21/06/2024,5,Friday
174,22/06/2024,6,Saturday
175,23/06/2024,7,Sunday
176,24/06/2024,1,Monday
177,25/06/2024,2,Tuesday
178,26/06/2024,3,Wednesday
179,27/06/2024,4,Thursday
180,28/06/2024,5,Friday
181,29/06/2024,6,Saturday
182,30/06/2024,7,Sunday
183,1/07/2024,1,Monday
184,2/07/2024,2,Tuesday
185,3/07/2024,3,Wednesday
186,4/07/2024,4,Thursday
187,5/07/2024,5,Friday
188,6/07/2024,6,Saturday
189,7/07/2024,7,Sunday
190,8/07/2024,1,Monday
191,9/07/2024,2,Tuesday
192,10/07/2024,3,Wednesday
193,11/07/2024,4,Thursday
194,12/07/2024,5,Friday
195,13/07/2024,6,Saturday
196,14/07/2024,7,Sunday
197,15/07/2024,1,Monday
198,16/07/2024,2,Tuesday
199,17/07/2024,3,Wednesday
200,18/07/2024,4,Thursday
201,19/07/2024,5,Friday
202,20/07/2024,6,Saturday
203,21/07/2024,7,Sunday
204,22/07/2024,1,Monday
205,23/07/2024,2,Tuesday
