movieid,title,release_date,start_date,descriptions,runtime_hour,runtime_minute,genreid,ratingid,image_url
1,"""Harry Potter and the Sorcerer's Stone""",7/12/2023,10/12/2023,"""An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.""",2,32,2,2,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p28630_p_v8_at.jpg
2,"""Harry Potter and the Chamber of Secrets""",20/03/2024,25/03/2024,"""An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.""",2,41,2,2,https://cdn.moviefone.com/image-assets/672/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg?d=360x540&q=60
3,"""Harry Potter and the Prisoner of Azkaban""",19/04/2024,20/04/2024,"""Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.""",2,22,2,2,https://picfiles.alphacoders.com/427/427597.jpg
4,"""Harry Potter and the Goblet of Fire""",19/05/2024,20/05/2024,"""Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.""",2,37,2,3,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p90599_p_v8_aq.jpg
5,"""Harry Potter and the Order of the Phoenix""",18/06/2024,19/06/2024,"""With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.""",2,18,2,3,https://musicart.xboxlive.com/7/22e15000-0000-0000-0000-000000000002/504/image.jpg?w=1920&h=1080
6,"""Harry Potter and the Half-Blood Prince""",18/07/2024,21/07/2024,"""As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.""",2,33,2,2,https://musicart.xboxlive.com/7/29e15000-0000-0000-0000-000000000002/504/image.jpg?w=1920&h=1080
7,"""Harry Potter and the Deathly Hallows: Part 1""",17/08/2024,18/08/2024,"""As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.""",2,26,2,3,https://image.tmdb.org/t/p/original/bk1EWfRW0U76sWZiLDL1T7J0XV9.jpg
8,"""Harry Potter and the Deathly Hallows: Part 2""",16/09/2024,17/09/2024,"""Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.""",2,10,2,3,https://musicart.xboxlive.com/7/3de15000-0000-0000-0000-000000000002/504/image.jpg?w=1920&h=1080
9,"""The Lord of the Rings: The Fellowship of the Ring""",7/12/2023,8/12/2023,"""A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.""",2,58,5,3,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/63006f8c3192e6f732b9f699f5ed368fb557e6742ca8c01209fef0c046d91113._RI_V_TTW_.jpg
10,"""The Lord of the Rings: The Two Towers""",21/03/2024,22/03/2024,"""While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.""",2,59,5,3,https://m.media-amazon.com/images/M/MV5BZTUxNzg3MDUtYjdmZi00ZDY1LTkyYTgtODlmOGY5N2RjYWUyXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_FMjpg_UX1000_.jpg
11,"""The Lord of the Rings: The Return of the King""",20/04/2024,29/04/2024,"""Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.""",3,21,5,3,https://image.tmdb.org/t/p/original/dNsEaafO4huvqzVrlPuSQWIHOy0.jpg
12,"""The Hobbit: An Unexpected Journey""",20/05/2024,22/05/2024,"""A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.""",2,49,6,3,https://th.bing.com/th/id/R.ab4d711d5e51a82bdd1be0cbb1b98251?rik=wFG9J3%2fGpgVISw&riu=http%3a%2f%2fwww.newdvdreleasedates.com%2fimages%2fposters%2flarge%2fthe-hobbit-an-unexpected-journey-2012-5.jpg&ehk=m%2f4ldcFQMLHB2PI44Gzx3ggrGMpNN%2bkXgiwc%2b%2fMpITo%3d&risl=&pid=ImgRaw&r=0
13,"""The Hobbit: The Desolation of Smaug""",19/06/2024,20/06/2024,"""The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.""",2,41,6,3,https://www.themoviedb.org/t/p/original/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg
14,"""The Hobbit: The Battle of the Five Armies""",19/07/2024,20/07/2024,"""Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.""",2,24,6,3,https://th.bing.com/th/id/OIP.WcEMuJhhTAfW5Enrxw21PAHaLH?rs=1&pid=ImgDetMain
15,"""High School Musical""",7/12/2023,8/12/2023,"""A popular high school athlete and an academically gifted girl get roles in the school musical and develop a friendship that threatens East High's social order.""",1,38,4,1,https://image.tmdb.org/t/p/original/wfhutIqlytNVppaWiiuRQ8ilILh.jpg
16,"""High School Musical 2""",11/03/2024,11/03/2024,"""School's out for summer and the East High Wildcats are ready to make it the time of their lives after landing jobs in a wealthy country club owned by Sharpay and Ryan's family.""",1,44,4,1,https://image.tmdb.org/t/p/original/w4MvtjNrdJtXABFncS38qKpx1M8.jpg
